EMPLOYEE_ID;FIRST_NAME;LAST_NAME;EMAIL;PHONE_NUMBER;HIRE_DATE;JOB_ID;SALARY;COMMISSION_PCT;MANAGER_ID;DEPARTMENT_ID;COD_LUGAR_NACE;COD_LUGAR_VIVE;COD_LUGAR_TRABAJA
100;Steven;King;SKING;5.151.234.567;23/02/21;AD_PRES;24000;;90;101;1601;1404
101;Neena;Kochhar;NKOCHHAR;5.151.234.568;16/08/18;AD_VP;17000;100;90;102;1602;1501
102;Lex;De Haan;LDEHAAN;5.151.234.569;21/08/12;AD_VP;17000;100;90;103;1603;1601
103;Alexander;Hunold;AHUNOLD;5.904.234.567;19/05/15;IT_PROG;9000;102;60;104;1604;1602
104;Bruce;Ernst;BERNST;5.904.234.568;07/01/17;IT_PROG;6000;103;60;105;1701;1603
105;David;Austin;DAUSTIN;5.904.234.569;13/12/16;IT_PROG;4800;103;60;106;1801;1604
106;Valli;Pataballa;VPATABAL;5.904.234.560;25/05/16;IT_PROG;4800;103;60;107;1802;1701
107;Diana;Lorentz;DLORENTZ;5.904.235.567;12/01/19;IT_PROG;4200;103;60;108;1901;1801
108;Nancy;Greenberg;NGREENBE;5.151.244.569;20/10/20;FI_MGR;12000;101;100;109;1902;1802
109;Daniel;Faviet;DFAVIET;5.151.244.169;14/04/16;FI_ACCOUNT;9000;108;100;110;1903;1901
110;John;Chen;JCHEN;5.151.244.269;25/10/14;FI_ACCOUNT;8200;108;100;111;2001;1902
111;Ismael;Sciarra;ISCIARRA;5.151.244.369;04/07/12;FI_ACCOUNT;7700;108;100;112;2101;1903
112;Jose Manuel;Urman;JMURMAN;5.151.244.469;27/04/19;FI_ACCOUNT;7800;108;100;113;2201;2001
113;Luis;Popp;LPOPP;5.151.244.567;20/01/21;FI_ACCOUNT;6900;108;100;201;2301;2101
114;Den;Raphaely;DRAPHEAL;5.151.274.561;27/12/20;PU_MAN;11000;100;30;202;2401;2201
115;Alexander;Khoo;AKHOO;5.151.274.562;12/05/21;PU_CLERK;3100;114;30;301;2402;2301
116;Shelli;Baida;SBAIDA;5.151.274.563;01/12/17;PU_CLERK;2900;114;30;302;2501;2401
117;Sigal;Tobias;STOBIAS;5.151.274.564;14/11/15;PU_CLERK;2800;114;30;303;2502;2402
118;Guy;Himuro;GHIMURO;5.151.274.565;02/10/20;PU_CLERK;2600;114;30;304;304;304
119;Karen;Colmenares;KCOLMENA;5.151.274.566;06/06/14;PU_CLERK;2500;114;30;401;2504;2502
120;Matthew;Weiss;MWEISS;6.501.231.234;01/10/17;ST_MAN;8000;100;50;402;906;2503
121;Adam;Fripp;AFRIPP;6.501.232.234;21/09/15;ST_MAN;8200;100;50;404;907;2504
122;Payam;Kaufling;PKAUFLIN;6.501.233.234;04/01/15;ST_MAN;7900;100;50;403;707;906
